genre	artist_name	track_name	track_id	popularity
Dance	Lauv	Enemies	3JJYIoJ5FyY9E0DGjr7SXF	77
Dance	Kesha	Praying	0jdny0dhgjUwoIp5GkqEaA	76
Dance	The Chainsmokers	Paris	15vzANxN8G9wWfwAJLLMCg	78
Dance	Clean Bandit	Solo (feat. Demi Lovato)	6kPJZM97LwdG9QIsT7khp6	87
Dance	DJ Snake	Let Me Love You	0lYBSQXN6rCTvUZvg9S0lU	82
Dance	Bruno Mars	Locked Out Of Heaven	3w3y8KPTfNeOKPiqUTakBh	79
Dance	Destiny's Child	Say My Name	7H6ev70Weq6DdpZyyTmUXk	78
Dance	Justin Timberlake	Mirrors	4rHZZAmHpZrA3iH5zx8frV	77
Dance	Jonas Blue	Polaroid	1wsLHgXJ4SKIfd5ePSX1hD	84
Dance	Jack & Jack	No One Compares To You	4cZ3UsiKd1kUQIaq4BFIj2	78
Dance	Beyonc�	Crazy In Love	5IVuqXILoxVWvWEPm82Jxr	78
Dance	Ruel	Younger	2qXicQG06oT0ijKBznpgQv	78
Dance	Ariana Grande	Break Free	12KUFSHFgT0XCoiSlvdQi4	77
Dance	Calvin Harris	This Is What You Came For	0azC730Exh71aQlOt9Zj3y	81
Dance	Lizzo	Juice	0onslUNmSLDkuYaideYWir	78
Dance	James Arthur	Can I Be Him	0VhgEqMTNZwYL1ARDLLNCX	79
Dance	Troye Sivan	Dance To This (feat. Ariana Grande)	2NjO87HyT80fsgejd3PLYW	78
Dance	One Direction	Story of My Life	4nVBt6MZDDP6tRVdQTgxJg	79
Dance	Justin Bieber	Sorry	09CtPGIpYB4BrO8qb1RGsF	81
Dance	Ariana Grande	Everyday	6yL2kTsdVwYnGwPkKGtMd5	76
Dance	Ariana Grande	Problem	7vS3Y0IKjde7Xg85LWIEdP	77
Dance	Harry Styles	Sign of the Times	5Ohxk2dO5COHF1krpoPigN	79
Dance	Sean Paul	Temperature	0k2GOhqsrxDTAbFFSdNJjT	76
Dance	Rihanna	Bitch Better Have My Money	0NTMtAO2BV4tnGvw9EgBVq	77
Dance	Ciara	One, Two Step	7uKcScNXuO3MWw6LowBjW1	1
Dance	Fifth Harmony	Work from Home (feat. Ty Dolla $ign)	4tCtwWceOPWzenK2HAIJSb	80
Dance	Tears For Fears	Everybody Wants To Rule The World	4RvWPyQ5RL0ao9LPZeSouE	81
Dance	Clean Bandit	I Miss You (feat. Julia Michaels)	0Ult84lvFuqNvbyXwyRQ58	83
Dance	Alec Benjamin	Let Me Down Slowly (feat. Alessia Cara)	1roCmBlcpV7LzsmB7pmCyt	77
Dance	Why Don't We	Hooked	2N2s2s2w0jmSIPNZcm8Jnr	77
Dance	Ruel	Dazed & Confused	2pyjbGTpJCPjMYwCbdymiF	76
Dance	Usher	My Boo	68vgtRHr7iZHpzGpon6Jlo	77
Dance	The Chainsmokers	Beach House	2bQhVQbV7VBzSOPo8mbkUR	76
Dance	ZAYN	Good Years	1V1NpX9DlBb9koXof9nIBF	78
Dance	Axwell /\ Ingrosso	More Than You Know	6h5PAsRni4IRlxWr6uDPTP	83
Dance	Seeb	Grip	3gicyfiEVMGONgzygpWjNT	81
Dance	Avril Lavigne	Complicated	5xEM5hIgJ1jjgcEBfpkt2F	77
Dance	Avicii	Without You (feat. Sandro Cavazza)	6Pgkp4qUoTmJIPn7ReaGxL	83
Dance	NOTD	I Wanna Know (feat. Bea Miller)	18W92Zm1KjLCbUIszOhpkD	79
Dance	Flo Rida	Low (feat. T-Pain)	0CAfXk7DXMnon4gLudAp7J	80
Dance	Katy Perry	Dark Horse	5jrdCoLpJSvHHorevXBATy	77
Dance	MGMT	Electric Feel	3FtYbEfBqAlGO46NUDQSAt	76
Dance	Taylor Swift	Look What You Made Me Do	1JbR9RDP3ogVNEWFgNXAjh	77
Dance	MKTO	Classic	6FE2iI43OZnszFLuLtvvmg	77
Dance	Shawn Mendes	Where Were You In The Morning?	376Gg7Oxo5C5jUWDWpVXeI	78
Dance	Nelly	Dilemma	0ARK753YaiJbpLUk7z5yIM	78
Dance	James Arthur	Empty Space	1uru26I2JKd2mQZt0MDCUe	82
Dance	Lorde	Royals	2dLLR6qlu5UJ5gk0dKz0h3	77
Dance	David Guetta	Like I Do	6RnkFd8Fqqgk1Uni8RgqCQ	80
Dance	Little Mix	Woman Like Me (feat. Nicki Minaj)	6rrTr2HEAzlpC4KWZxF3S1	84
Dance	Jess Glynne	I'll Be There	083Qf6hn6sFL6xiOHlZUyn	81
Dance	James Arthur	Naked	7krbSH3rd8lhIZvuzTV3Bl	82
Dance	Eurythmics	Sweet Dreams (Are Made of This) - Remastered	1TfqLAPs4K3s2rJMoCokcS	82
Dance	Charlie Puth	The Way I Am	6qNALlmZa1ESnCxJmXE1K9	76
Dance	Zara Larsson	Never Forget You	6hmhG1b4LEyNuashVvuIAo	79
Dance	Charlie Puth	How Long	6wmAHw1szh5RCKSRjiXhPe	79
Dance	Beyonc�	Love On Top	1z6WtY7X4HQJvzxC4UgkSf	76
Dance	The Clash	Should I Stay or Should I Go - Remastered	39shmbIHICJ2Wxnk1fPSdz	79
Dance	Pitbull	Time of Our Lives	2bJvI42r8EF3wxjOuDav4r	77
Dance	OneRepublic	Connection	3T4UodGkfZObJ43RtA5KFU	78
Dance	The Chainsmokers	Sick Boy	58kZ9spgxmlEznXGu6FPdQ	78
Dance	Katy Perry	Roar	6F5c58TMEs1byxUstkzVeM	77
Dance	DJ Snake	Middle	0g5EKLgdKvNlln7TNqBByK	78
Dance	Sean Kingston	Beautiful Girls	1hGy2eLcmC8eKx7qr1tOqx	77
Dance	Little Mix	Shout Out to My Ex	1pwo8l3Ko7idwaz4LVUEC4	80
Dance	Prince Royce	Adicto	4Xqpt53kWML7eTObGxQ43i	78
Dance	Flo Rida	My House	6Knv6wdA0luoMUuuoYi2i1	77
Dance	Soulja Boy	Kiss Me Thru The Phone	2q4rjDy9WhaN3o9MvDbO21	76
Dance	Kesha	TiK ToK	0HPD5WQqrq7wPWR7P7Dw1i	76
Dance	Jessie J	Bang Bang	0puf9yIluy9W0vpMEUoAnN	79
Dance	James TW	When You Love Someone	1o6YK7phnXgsljfWSQQfWc	80
Dance	Bruno Mars	Treasure	55h7vJchibLdUkxdlX3fK7	76
Dance	Charlie Puth	Done for Me (feat. Kehlani)	1lsBTdE6MGsKeZCD6llNu7	76
Dance	Alesso	REMEDY	6jreFSOTUAViWjKyzOC4Kg	83
Dance	Nicki Minaj	Chun-Li	1e4rwBPVI32vZtTJu7mJ4J	76
Dance	Beyonc�	Run the World (Girls)	1uXbwHHfgsXcUKfSZw5ZJ0	76
Dance	Jeremih	Impatient	3WjyiSbfR74pjWXQ3IaFKJ	76
Dance	Mariah Carey	All I Want for Christmas Is You	0bYg9bo50gSsH3LtXe2SQn	76
Dance	Blackstreet	No Diggity	6MdqqkQ8sSC0WB4i8PyRuQ	78
Dance	Sigala	Just Got Paid	0v3BMLcwUmAwyqJaf5997o	81
Dance	Miley Cyrus	Malibu	1UZOjK1BwmwWU14Erba9CZ	79
Dance	Clean Bandit	Symphony (feat. Zara Larsson)	1x5sYLZiu9r5E43kMlt9f8	81
Dance	The Chainsmokers	Side Effects	0bGLvHd0ApdT4t0shCfpzG	77
Dance	Selena Gomez	Back To You	514rhnksEwHUh6LxXsQ4Y9	76
Dance	Soulja Boy	Crank That (Soulja Boy)	66TRwr5uJwPt15mfFkzhbi	77
Dance	ZAYN	Entertainer	6kjKRa91zikS6ZOL2Rt1QF	76
Dance	Jason Derulo	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	6kex4EBAj0WHXDKZMEJaaF	80
Dance	Justin Bieber	What Do You Mean?	4B0JvthVoAAuygILe3n4Bs	78
Dance	Wisin	Esc�pate Conmigo (feat. Ozuna)	1KSqYYJFyfTecXFk9M0prc	79
Dance	James TW	You & Me	5g45gvxgaYVuhkDACPnvfh	79
Dance	Leona Lewis	Bleeding Love	7wZUrN8oemZfsEd1CGkbXE	80
Dance	Trey Songz	Chi Chi (feat. Chris Brown)	0UvBmQOhu4DVXJtdzGc5eV	76
Dance	Avicii	Hey Brother	4RXpgGM7A4Hg7cFBoH5KyF	78
Dance	Charli XCX	1999	05mAIVLkIWc2d1UBYZBCp8	83
Dance	Niall Horan	Too Much To Ask	39jXnbACjiaiTwwhsr5sY5	78
Dance	Luis Fonsi	�chame La Culpa	2hl6q70unbviGo3g1R7uFx	78
Dance	Britney Spears	Oops!...I Did It Again	6naxalmIoLFWR0siv8dnQQ	77
Dance	P!nk	A Million Dreams	0oagwWkGlBoACUuKvTmqZV	77
Dance	Avicii	The Nights	0ct6r3EGTcMLPtrXHDvVjc	79
Dance	Wham!	Wake Me up Before You Go-Go	0ikz6tENMONtK6qGkOrU3c	79
Dance	Nicki Minaj	Bed (feat. Ariana Grande)	3L4GsGLgxpHieVQH86H8bv	77
Dance	Rihanna	Pon de Replay	4TsmezEQVSZNNPv5RJ65Ov	76
Dance	David Guetta	Flames	33IOhptvC2Qoy2UhjiHXLV	83
Dance	Avicii	Waiting For Love	2P4OICZRVAQcYAV2JReRfj	80
Dance	Dua Lipa	Want To	5fK0Q3j2iUcQtiRDXlPW0K	77
Dance	David Guetta	Don't Leave Me Alone (feat. Anne-Marie)	2lYTJK94hb0fd1LQtb6Dhk	79
Dance	Natasha Bedingfield	Unwritten	1D1nixOVWOxvNfWi0UD7VX	77
Dance	Rita Ora	Only Want You	2CTN6UuO2dNEVZXR0DJVk2	78
Dance	Shawn Mendes	Nervous	5wxurz8J6YlyQRNnGN8zXS	76
Dance	XO Cupid	True Colors (feat. Maya Avedis)	4AMY0oGSt7vZwgxDnHCJBr	79
Dance	Louis Tomlinson	Back to You (feat. Bebe Rexha & Digital Farm Animals)	7F9vK8hNFMml4GtHsaXui6	76
Dance	Shakira	Chantaje (feat. Maluma)	6mICuAdrwEjh6Y6lroV2Kg	78
Dance	Rihanna	Don't Stop The Music	0ByMNEPAPpOR5H69DVrTNy	78
Dance	Avicii	Lonely Together (feat. Rita Ora)	75NhhYjHO43mvZgYtnXgti	79
Dance	Shakira	Clandestino	7DrluKkTviBwCc8AV3VGmf	81
Dance	JoJo	Too Little, Too Late - Radio Version	7oUMJhQp5Bqu6HqxSZs02v	1
Dance	Capital Cities	Safe And Sound	6Z8R6UsFuGXGtiIxiD8ISb	76
Dance	Calvin Harris	Summer	6YUTL4dYpB9xZO5qExPf05	78
Dance	Camila Cabello	Crying in the Club	1SJtlNRJDeYHioymcvsqev	76
Dance	Britney Spears	Toxic	6I9VzXrHxO9rA9A5euc8Ak	79
Dance	Clean Bandit	Rockabye (feat. Sean Paul & Anne-Marie)	5knuzwU65gJK7IF5yJsuaW	81
Dance	MGMT	Kids	1jJci4qxiYcOHhQR247rEU	76
Dance	Sara Bareilles	Love Song	4E6cwWJWZw2zWf7VFbH7wf	76
Dance	The Vamps	All Night	0dXNQ8dckG4eYfEtq9zcva	77
Dance	Cher	Believe	2goLsvvODILDzeeiT4dAoR	76
Dance	James TW	Say Love	6r3JPmyGO3Gbpyx1FD5txL	78
Dance	Pitbull	Give Me Everything	4QNpBfC0zvjKqPJcyqBy9W	76
Dance	Ciara	Level Up	5ubwXXOsH9bUhZsQ0Cybha	76
Dance	Justin Bieber	Friends (with BloodPop�)	7iNIg7XDEaYECfWD5dJ9Va	78
Dance	Luis Fonsi	Sola	0BOm90PDLRJpTSqqd6z52E	79
Dance	Nightcall	Let You Go	6JflMse23AqmddXJnGiEVJ	76
Dance	Nick Jonas	Right Now	43wzy7JxMEfvCh8ZFeZKYk	79
Dance	Anne-Marie	Perfect To Me	0DC7Zs2qvAbNK1owWQ4mlL	80
Dance	Calvin Harris	How Deep Is Your Love	22mek4IiqubGD9ctzxc69s	78
Dance	Usher	DJ Got Us Fallin' In Love (feat. Pitbull)	4356Typ82hUiFAynbLYbPn	76
Dance	JP Cooper	September Song	0zbzrhfVS9S2TszW3wLQZ7	77
Dance	Little Mix	Black Magic	5y6pj7OeBFF0CVgZKhRbOG	77
Dance	Jason Derulo	Goodbye (feat. Nicki Minaj & Willy William)	5Xn4IyTtW6FUGIUyWjbUHG	82
Dance	Shawn Mendes	Use Somebody - Recorded at Spotify Studios NYC	5My4LtZW8JQJoKFDWodqIt	76
Dance	Zara Larsson	Lush Life	1rIKgCH4H52lrvDcz50hS8	80
Dance	Liam Payne	Familiar	0Y4hwUppbGc8aIBmiTz30A	78
Dance	Calvin Harris	My Way	1vvNmPOiUuyCbgWmtc6yfm	78
